"PassengerId","Survived"
892,1
893,0
894,0
895,0
896,0
897,0
898,1
899,0
900,0
901,1
902,0
903,0
904,1
905,1
906,0
907,0
908,0
909,0
910,1
911,0
912,0
913,0
914,1
915,0
916,1
917,0
918,1
919,1
920,1
921,0
922,1
923,0
924,0
925,0
926,1
927,0
928,1
929,0
930,0
931,0
932,0
933,0
934,0
935,1
936,1
937,1
938,1
939,0
940,1
941,0
942,0
943,0
944,1
945,0
946,0
947,0
948,0
949,1
950,1
951,0
952,1
953,0
954,0
955,0
956,1
957,0
958,0
959,1
960,0
961,0
962,0
963,0
964,0
965,1
966,0
967,1
968,1
969,0
970,0
971,1
972,0
973,1
974,0
975,0
976,0
977,1
978,0
979,1
980,0
981,0
982,0
983,1
984,0
985,1
986,1
987,0
988,1
989,1
990,0
991,0
992,0
993,0
994,1
995,0
996,0
997,0
998,1
999,0
1000,1
1001,0
1002,0
1003,1
1004,1
1005,0
1006,1
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,1
1014,0
1015,1
1016,0
1017,0
1018,1
1019,0
1020,1
1021,0
1022,1
1023,0
1024,0
1025,1
1026,0
1027,0
1028,0
1029,0
1030,0
1031,1
1032,1
1033,0
1034,1
1035,0
1036,0
1037,1
1038,0
1039,1
1040,0
1041,0
1042,0
1043,0
1044,0
1045,1
1046,0
1047,0
1048,0
1049,1
1050,1
1051,0
1052,1
1053,0
1054,1
1055,0
1056,0
1057,0
1058,1
1059,0
1060,0
1061,1
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,1
1070,0
1071,0
1072,0
1073,1
1074,0
1075,1
1076,0
1077,0
1078,0
1079,1
1080,0
1081,1
1082,1
1083,0
1084,0
1085,0
1086,1
1087,1
1088,0
1089,0
1090,0
1091,0
1092,1
1093,1
1094,0
1095,0
1096,0
1097,1
1098,0
1099,1
1100,0
1101,0
1102,1
1103,0
1104,0
1105,0
1106,1
1107,0
1108,1
1109,0
1110,0
1111,0
1112,1
1113,0
1114,1
1115,0
1116,0
1117,0
1118,1
1119,0
1120,1
1121,0
1122,0
1123,0
1124,1
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,1
1133,0
1134,1
1135,0
1136,0
1137,0
1138,0
1139,1
1140,0
1141,0
1142,0
1143,0
1144,1
1145,0
1146,0
1147,0
1148,0
1149,0
1150,1
1151,1
1152,0
1153,0
1154,0
1155,0
1156,0
1157,1
1158,0
1159,1
1160,0
1161,0
1162,1
1163,0
1164,0
1165,0
1166,1
1167,0
1168,0
1169,1
1170,0
1171,0
1172,0
1173,0
1174,1
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,1
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,1
1189,0
1190,0
1191,0
1192,0
1193,1
1194,0
1195,1
1196,1
1197,0
1198,0
1199,1
1200,0
1201,0
1202,1
1203,0
1204,0
1205,1
1206,1
1207,1
1208,1
1209,0
1210,0
1211,1
1212,1
1213,0
1214,1
1215,0
1216,0
1217,1
1218,0
1219,0
1220,1
1221,0
1222,0
1223,0
1224,1
1225,0
1226,1
1227,0
1228,1
1229,0
1230,0
1231,0
1232,0
1233,0
1234,1
1235,0
1236,0
1237,0
1238,1
1239,0
1240,0
1241,0
1242,0
1243,1
1244,0
1245,0
1246,0
1247,1
1248,0
1249,0
1250,0
1251,0
1252,1
1253,0
1254,0
1255,0
1256,1
1257,0
1258,1
1259,1
1260,0
1261,0
1262,0
1263,0
1264,1
1265,0
1266,0
1267,0
1268,1
1269,0
1270,1
1271,0
1272,0
1273,0
1274,1
1275,0
1276,0
1277,1
1278,1
1279,1
1280,1
1281,0
1282,0
1283,1
1284,0
1285,0
1286,0
1287,0
1288,1
1289,0
1290,0
1291,0
1292,1
1293,0
1294,0
1295,1
1296,0
1297,0
1298,0
1299,0
1300,0
1301,1
1302,0
1303,0
1304,0
1305,0
1306,0
1307,1
1308,0
1309,1
