"PassengerId","Survived"
892,0
893,1
894,0
895,1
896,1
897,0
898,0
899,1
900,0
901,1
902,1
903,0
904,1
905,1
906,0
907,1
908,0
909,0
910,1
911,1
912,0
913,1
914,1
915,0
916,1
917,1
918,0
919,1
920,0
921,0
922,1
923,1
924,0
925,0
926,0
927,0
928,0
929,1
930,0
931,1
932,0
933,0
934,1
935,1
936,0
937,1
938,1
939,0
940,0
941,1
942,0
943,0
944,1
945,0
946,1
947,1
948,0
949,0
950,0
951,0
952,0
953,1
954,0
955,0
956,0
957,0
958,1
959,0
960,0
961,1
962,1
963,0
964,1
965,0
966,0
967,1
968,1
969,0
970,1
971,1
972,0
973,1
974,1
975,0
976,1
977,0
978,0
979,1
980,1
981,0
982,1
983,1
984,0
985,1
986,1
987,0
988,1
989,1
990,0
991,1
992,0
993,0
994,0
995,1
996,0
997,0
998,1
999,0
1000,1
1001,1
1002,0
1003,1
1004,1
1005,0
1006,0
1007,1
1008,0
1009,1
1010,0
1011,0
1012,1
1013,0
1014,0
1015,1
1016,1
1017,0
1018,0
1019,1
1020,0
1021,0
1022,0
1023,0
1024,1
1025,0
1026,0
1027,1
1028,0
1029,0
1030,1
1031,0
1032,0
1033,0
1034,1
1035,0
1036,1
1037,0
1038,0
1039,1
1040,1
1041,0
1042,1
1043,1
1044,0
1045,1
1046,0
1047,0
1048,1
1049,0
1050,0
1051,1
1052,1
1053,0
1054,0
1055,1
1056,0
1057,1
1058,1
1059,0
1060,1
1061,0
1062,0
1063,1
1064,1
1065,0
1066,1
1067,1
1068,0
1069,1
1070,0
1071,0
1072,1
1073,1
1074,0
1075,1
1076,0
1077,0
1078,1
1079,1
1080,0
1081,1
1082,0
1083,0
1084,1
1085,1
1086,0
1087,1
1088,1
1089,0
1090,1
1091,1
1092,0
1093,1
1094,1
1095,0
1096,1
1097,0
1098,0
1099,1
1100,0
1101,0
1102,0
1103,1
1104,0
1105,0
1106,0
1107,0
1108,1
1109,1
1110,0
1111,0
1112,1
1113,0
1114,1
1115,1
1116,0
1117,0
1118,1
1119,0
1120,1
1121,1
1122,0
1123,1
1124,0
1125,0
1126,1
1127,1
1128,0
1129,1
1130,1
1131,0
1132,1
1133,1
1134,0
1135,1
1136,0
1137,0
1138,1
1139,0
1140,0
1141,1
1142,0
1143,0
1144,0
1145,1
1146,0
1147,1
1148,1
1149,0
1150,1
1151,1
1152,0
1153,1
1154,1
1155,0
1156,1
1157,0
1158,0
1159,1
1160,0
1161,0
1162,1
1163,1
1164,0
1165,1
1166,0
1167,0
1168,1
1169,0
1170,0
1171,1
1172,1
1173,0
1174,0
1175,1
1176,0
1177,1
1178,1
1179,0
1180,1
1181,0
1182,0
1183,1
1184,0
1185,0
1186,1
1187,1
1188,0
1189,1
1190,0
1191,0
1192,1
1193,0
1194,0
1195,1
1196,0
1197,0
1198,1
1199,1
1200,0
1201,1
1202,0
1203,0
1204,1
1205,1
1206,0
1207,0
1208,0
1209,0
1210,1
1211,0
1212,0
1213,1
1214,0
1215,0
1216,1
1217,1
1218,0
1219,0
1220,1
1221,0
1222,1
1223,1
1224,0
1225,0
1226,1
1227,0
1228,0
1229,1
1230,0
1231,1
1232,0
1233,0
1234,0
1235,1
1236,0
1237,1
1238,1
1239,0
1240,1
1241,1
1242,0
1243,1
1244,1
1245,0
1246,1
1247,0
1248,0
1249,1
1250,1
1251,0
1252,0
1253,1
1254,0
1255,0
1256,1
1257,0
1258,1
1259,1
1260,0
1261,1
1262,1
1263,0
1264,0
1265,1
1266,0
1267,0
1268,0
1269,0
1270,0
1271,1
1272,0
1273,1
1274,0
1275,0
1276,1
1277,0
1278,0
1279,0
1280,1
1281,0
1282,1
1283,1
1284,0
1285,1
1286,0
1287,0
1288,0
1289,1
1290,0
1291,0
1292,0
1293,0
1294,1
1295,0
1296,0
1297,1
1298,0
1299,0
1300,1
1301,0
1302,0
1303,1
1304,0
1305,0
1306,1
1307,0
1308,0
1309,1
